Tm;Player;Age;PER;points;rebounds;assists;steals;blocks
NYK;Jim Cleamons;29;77;5.1;19.7;1.4;0.2;
SEA;John Johnson;31;37;9.1;20.3;1.1;0.6;
NYK;Ray Williams;24;84;6.6;31;2.5;0.4;
PHO;Alvan Adams;24;61;16.6;20.8;2.1;1.4;
PHI;Bobby Jones;27;10;12;11.8;2.1;2.2;
GSW;Phil Smith;26;61;5;16.2;2.1;0.5;
SEA;Gus Williams;25;94;5.7;21.9;3.2;0.7;
NJN;Eddie Jordan;24;11;5;23.1;3.9;1;
HOU;Robert Reid;23;76;11.6;13.2;1.5;1.1;
DET;Leon Douglas;24;51;15.6;4.3;0.8;1.3;
ATL;Steve Hawes;28;26;14.5;11.7;1.7;1.2;
DEN;Tom Boswell;25;23;12.8;14.7;1;1.2;
KCK;Bill Robinzine;26;86;15.9;6.5;2.2;0.4;
PHI;Caldwell Jones;28;72;17.9;9.1;0.8;3.8;
SAS;James Silas;29;49;4.4;16.2;1.5;0.5;
SEA;Lonnie Shelton;23;59;11.4;7.5;1.6;1.8;
POR;Mychal Thompson;24;89;15.7;12.1;1.5;3.5;
MIL;Kent Benson;24;54;15.1;12.1;1.9;2;
NOJ;Gail Goodrich;35;72;4.2;23.5;1.9;0.3;
SAS;Billy Paultz;30;37;15.5;10.5;0.7;2.9;
SAS;Mike Gale;28;64;4.6;20.6;3.1;0.9;
WSB;Tom Henderson;27;26;4;24.5;1.9;0.2;
NJN;George Johnson;30;37;15.7;5.5;1.4;6.6;
MIL;John Gianelli;28;86;11;9.1;1;1.5;
PHI;Darryl Dawkins;22;93;16.1;9.1;0.7;3.6;
NYK;Marvin Webster;26;57;17.4;10.6;0.5;2.9;
SDC;Sidney Wicks;29;5;10.7;7.9;1.6;0.9;
SDC;Swen Nater;29;100;18.6;9.1;0.9;0.7;
NJN;Jan Van Breda Kolff;27;53;10.1;11.6;1.9;2;
POR;Lionel Hollins;25;18;4.2;23.9;2.7;0.7;
MIL;Junior Bridgeman;25;97;8.4;11.7;2;1.1;
SEA;Fred Brown;30;75;4.6;20.1;2.8;0.6;
CHI;Mark Landsberger;23;57;20.7;4.7;0.6;0.6;
SEA;Paul Silas;35;77;15.5;7.3;0.7;0.5;
